City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sisimiut,66.9395,-53.6735,-2.53,76,19,6.03,GL,1697314738
1,tralee,52.2704,-9.7026,9.36,65,95,3.99,IE,1697314703
2,invercargill,-46.4,168.35,7.79,88,95,4.92,NZ,1697314738
3,misratah,32.3754,15.0925,23.55,61,0,2.95,LY,1697314739
4,grytviken,-54.2811,-36.5092,-2.62,83,43,3.56,GS,1697314739
5,praia,14.9215,-23.5087,28.3,83,75,4.63,CV,1697314477
6,penon blanco,24.7897,-104.0369,27.29,36,48,4.96,MX,1697314739
7,tromso,69.6496,18.957,2.01,64,75,6.17,NO,1697314740
8,adamstown,-25.066,-130.1015,21.11,69,94,0.76,PN,1697314740
9,groningen,53.25,6.75,9.46,75,14,5.14,NL,1697314458
10,port lincoln,-34.7333,135.8667,13.63,71,100,4.98,AU,1697314740
11,solleftea,63.1667,17.2667,3.92,90,100,5.57,SE,1697314740
12,chonchi,-42.6128,-73.8092,12.56,58,92,2.28,CL,1697314741
13,waitangi,-43.9535,-176.5597,14.34,86,1,4.92,NZ,1697314741
14,al'met'yevsk,54.9044,52.3154,9.77,62,100,7.15,RU,1697314741
15,bilibino,68.0546,166.4372,-10.58,97,100,1.06,RU,1697314741
16,saipan,15.1355,145.701,25.39,94,0,1.54,MP,1697314706
17,vallenar,-28.5708,-70.7581,27.95,24,0,3.47,CL,1697314629
18,aasiaat,68.7098,-52.8699,-3.67,65,100,5.48,GL,1697314742
19,lagunillas,10.1301,-71.2595,32.45,60,25,3.21,VE,1697314742
20,yuzhno-kurilsk,44.0306,145.8556,14.1,69,99,2.14,RU,1697314743
21,vilyuchinsk,52.9306,158.4028,5.15,93,100,2.63,RU,1697314743
22,west mersea,51.778,0.9187,9.56,71,42,5.43,GB,1697314743
23,vila franca do campo,37.7167,-25.4333,21.6,99,48,3.19,PT,1697314743
24,kiunga,-6.1219,141.2906,23.12,100,100,0.59,PG,1697314743
25,port-aux-francais,-49.35,70.2167,1.13,68,64,9.6,TF,1697314744
26,mogadishu,2.0371,45.3438,26.42,88,23,6.4,SO,1697314744
27,bethel,41.3712,-73.414,10.5,87,100,1.54,US,1697314671
28,anadyr,64.75,177.4833,0.28,80,100,3.0,RU,1697314744
29,isafjordur,66.0755,-23.124,0.55,91,100,3.36,IS,1697314745
30,al jawf,29.5,38.75,24.64,21,0,3.54,SA,1697314745
31,teknaf,20.8624,92.3058,23.74,82,0,2.61,BD,1697314745
32,tayaman,13.2295,120.5726,26.16,82,46,1.76,PH,1697314745
33,olonkinbyen,70.9221,-8.7187,-2.03,87,99,9.35,SJ,1697314745
34,talnakh,69.4865,88.3972,1.23,93,100,3.03,RU,1697314746
35,howrah,22.5892,88.3103,27.0,83,20,0.0,IN,1697314746
36,platnirovskaya,45.3953,39.3842,16.0,47,0,3.58,RU,1697314746
37,pingliang,35.5392,106.6861,9.94,48,0,1.2,CN,1697314746
38,edinburgh of the seven seas,-37.0676,-12.3116,14.33,98,100,6.98,SH,1697314747
39,khilok,51.3674,110.4676,-0.74,71,27,2.24,RU,1697314747
40,nova vicosa,-17.8919,-39.3719,26.13,76,79,4.72,BR,1697314704
41,vorgashor,67.5833,63.95,-0.99,80,100,4.98,RU,1697314747
42,nizao,18.25,-70.2,33.04,65,98,3.17,DO,1697314748
43,encruzilhada do sul,-30.5439,-52.5219,16.7,74,8,4.74,BR,1697314748
44,carnarvon,-24.8667,113.6333,24.73,41,0,6.67,AU,1697314748
45,ilulissat,69.2167,-51.1,-2.99,86,100,5.14,GL,1697314748
46,broome,42.2506,-75.833,10.01,95,100,0.0,US,1697314748
47,papatowai,-46.5619,169.4708,7.82,72,100,4.09,NZ,1697314749
48,tuscaloosa,33.2098,-87.5692,22.88,49,0,5.66,US,1697314749
49,bredasdorp,-34.5322,20.0403,15.4,80,92,9.01,ZA,1697314749
50,hawaiian paradise park,19.5933,-154.9731,27.8,75,40,3.6,US,1697314749
51,tambura,5.6,27.4667,24.12,77,92,1.0,SS,1697314749
52,guerrero negro,27.9769,-114.0611,24.28,59,45,5.06,MX,1697314750
53,albany,42.6001,-73.9662,12.51,72,100,0.62,US,1697314526
54,gadzhiyevo,69.2551,33.3362,1.74,82,100,9.82,RU,1697314750
55,arraial do cabo,-22.9661,-42.0278,21.98,78,100,5.14,BR,1697314751
56,blackmans bay,-43.0167,147.3167,7.07,81,96,0.45,AU,1697314751
57,emerald,-23.5333,148.1667,15.75,69,0,2.46,AU,1697314751
58,thompson,55.7435,-97.8558,15.09,55,20,2.06,CA,1697314547
59,tefe,-3.3542,-64.7114,27.06,78,75,2.06,BR,1697314751
60,college,64.8569,-147.8028,4.33,86,100,0.0,US,1697314606
61,quellon,-43.1167,-73.6167,9.84,61,96,4.72,CL,1697314636
62,kodiak,57.79,-152.4072,5.73,75,0,0.0,US,1697314752
63,san fernando,15.0286,120.6898,25.85,92,65,1.06,PH,1697314752
64,hadibu,12.65,54.0333,27.29,79,51,2.95,YE,1697314752
65,san antonio de pale,-1.4014,5.6325,25.82,84,100,7.03,GQ,1697314753
66,badger,64.8,-147.5333,4.28,88,0,0.0,US,1697314587
67,dryden,49.7833,-92.7503,7.16,70,100,2.57,CA,1697314753
68,puerto natales,-51.7236,-72.4875,12.25,47,40,12.35,CL,1697314753
69,fortuna,40.5982,-124.1573,23.29,71,20,5.66,US,1697314754
70,qaqortoq,60.7167,-46.0333,4.83,59,23,2.22,GL,1697314754
71,ash shatrah,31.4117,46.1742,30.67,19,3,4.41,IQ,1697314754
72,labytnangi,66.6572,66.4183,-3.17,87,63,2.42,RU,1697314754
73,afaahiti,-17.75,-149.2833,27.93,78,43,4.8,PF,1697314755
74,vilyuysk,63.7553,121.6247,-5.47,63,10,2.51,RU,1697314755
75,murzuq,25.9155,13.9184,23.73,24,0,2.71,LY,1697314755
76,mandalgovi,45.7625,106.2708,2.75,47,6,2.18,MN,1697314755
77,mahibadhoo,3.7833,72.9667,27.24,69,96,0.56,MV,1697314755
78,bayanaul,50.7889,75.6956,5.54,60,98,5.47,KZ,1697314756
79,high river,50.5834,-113.8687,12.75,49,53,0.84,CA,1697314756
80,portland,45.5234,-122.6762,18.89,80,75,3.09,US,1697314238
81,fale old settlement,-9.3852,-171.2468,28.52,76,54,9.48,TK,1697314757
82,wailua homesteads,22.0669,-159.378,27.24,80,100,3.6,US,1697314757
83,ushuaia,-54.8,-68.3,7.81,57,0,6.69,AR,1697314623
84,georgetown,5.4112,100.3354,27.23,89,40,2.57,MY,1697314672
85,tangshan,39.6333,118.1833,12.4,38,0,2.29,CN,1697314758
86,uturoa,-16.7333,-151.4333,25.98,72,6,5.61,PF,1697314758
87,kuqa,41.7278,82.9364,17.67,29,97,2.35,CN,1697314758
88,stanley,54.868,-1.6985,4.48,78,0,4.63,GB,1697314758
89,labasa,-16.4167,179.3833,25.65,76,86,4.35,FJ,1697314759
90,sarykemer,43.0,71.5,3.71,65,46,1.82,KZ,1697314759
91,ormara,25.2088,64.6357,27.01,82,3,5.53,PK,1697314759
92,chibuto,-24.6867,33.5306,19.87,74,20,4.22,MZ,1697314759
93,dolores,-36.3132,-57.6792,19.31,34,31,6.96,AR,1697314759
94,tolanaro,-25.0319,46.9987,23.0,82,12,1.64,MG,1697314760
95,paphos,34.7667,32.4167,21.88,73,40,1.54,CY,1697314646
96,west island,-12.1568,96.8225,24.99,83,75,6.69,CC,1697314760
97,lazaro cardenas,17.9583,-102.2,29.78,74,61,3.97,MX,1697314760
98,morshansk,53.4435,41.8107,11.38,61,19,5.91,RU,1697314761
99,namdrik,5.5994,168.1028,28.83,74,100,3.67,MH,1697314761
100,kalamata,37.0389,22.1142,21.17,58,20,2.68,GR,1697314761
101,tazovsky,67.4667,78.7,1.79,98,100,4.74,RU,1697314761
102,gilgit,35.9221,74.3087,17.99,50,100,0.57,PK,1697314762
103,puerto ayora,-0.7393,-90.3518,29.98,88,60,3.13,EC,1697314762
104,punta arenas,-53.15,-70.9167,10.06,46,75,14.92,CL,1697314558
105,shahdol,23.2833,81.35,22.16,54,45,1.8,IN,1697314762
106,iskateley,67.6803,53.1512,-2.21,93,47,1.79,RU,1697314763
107,babu,24.4167,111.5167,17.07,83,17,1.68,CN,1697314763
108,avarua,-21.2078,-159.775,25.03,69,40,4.63,CK,1697314763
109,plouzane,48.3833,-4.6167,10.03,79,20,3.09,FR,1697314763
110,qarchi gak,37.04,66.7889,13.75,23,1,4.3,AF,1697314763
111,port-gentil,-0.7193,8.7815,25.98,94,40,4.12,GA,1697314467
112,lebu,-37.6167,-73.65,11.83,74,94,7.99,CL,1697314764
113,flying fish cove,-10.4217,105.6791,24.82,94,100,4.63,CX,1697314477
114,trebic,49.2149,15.8817,13.36,94,98,2.57,CZ,1697314764
115,cabo san lucas,22.8909,-109.9124,32.61,61,20,5.14,MX,1697314529
116,el granada,37.5027,-122.4694,27.56,63,100,3.09,US,1697314765
117,whitehorse,60.7161,-135.0538,10.01,67,75,8.23,CA,1697314765
118,san vicente,-26.6167,-54.1333,21.56,78,94,1.43,AR,1697314765
119,ancud,-41.8697,-73.8203,9.43,71,100,3.74,CL,1697314765
120,masterton,-40.9597,175.6575,13.82,70,39,7.01,NZ,1697314765
121,farsan,32.2569,50.561,11.02,48,0,2.16,IR,1697314766
122,tughyl,47.7252,84.2063,7.83,79,100,7.58,KZ,1697314766
123,iqaluit,63.7506,-68.5145,0.85,74,40,4.63,CA,1697314766
124,hanceville,34.0607,-86.7675,23.03,36,0,6.35,US,1697314724
125,saposoa,-6.934,-76.7716,22.42,100,100,0.28,PE,1697314767
126,atafu village,-8.5421,-172.5159,28.63,74,100,9.62,TK,1697314767
127,molbergen,52.8667,7.9333,8.19,62,7,6.92,DE,1697314767
128,margaret river,-33.95,115.0667,12.01,79,4,5.16,AU,1697314767
129,nuuk,64.1835,-51.7216,3.34,100,75,10.8,GL,1697314521
130,enewetak,11.3474,162.3373,28.35,73,58,2.83,MH,1697314768
131,maitum,6.0392,124.4986,26.57,71,96,1.81,PH,1697314768
132,longyearbyen,78.2186,15.6401,0.91,60,75,9.26,SJ,1697314769
133,ubari,26.5921,12.7805,23.88,24,0,3.32,LY,1697314769
134,silvania,-16.6589,-48.6081,30.52,38,98,4.43,BR,1697314769
135,chernyshevskiy,63.0128,112.4714,-4.27,96,92,0.15,RU,1697314769
